date,data_source,treatment_name,stp_ods_cd,stp_gss_cd,stp_name,reg_ods_cd,reg_gss_cd,reg_name,numerator,numerator_unit,denominator,denominator_unit
2020-09-30,Secondary Care,abemaciclib,QR1,E54000043,Gloucestershire STP,Y58,E40000006,South West,3066,ADD,640650,Population
2020-09-30,Secondary Care,abemaciclib,QRL,E54000042,Hampshire and the Isle of Wight STP,Y59,E40000005,South East,5107,ADD,1831473,Population
2020-09-30,Secondary Care,abemaciclib,QRV,E54000027,North West London Health & Care Partnership STP,Y56,E40000003,London,5614,ADD,2111469,Population
2020-09-30,Secondary Care,abemaciclib,QSL,E54000038,Somerset STP,Y58,E40000006,South West,196,ADD,563851,Population
2020-09-30,Secondary Care,abemaciclib,QT1,E54000014,Nottingham and Nottinghamshire Health and Care STP,Y60,E40000008,Midlands,3843,ADD,1052195,Population
2020-09-30,Secondary Care,abemaciclib,QT6,E54000036,Cornwall and the Isles of Scilly Health & Social Care Partnership STP,Y58,E40000006,South West,224,ADD,575525,Population
2020-09-30,Secondary Care,abemaciclib,QU9,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West STP",Y59,E40000005,South East,1652,ADD,1723447,Population
2020-09-30,Secondary Care,abemaciclib,QUA,E54000016,The Black Country and West Birmingham STP,Y60,E40000008,Midlands,2485,ADD,1380809,Population
2020-09-30,Secondary Care,abemaciclib,QUE,E54000021,Cambridgeshire and Peterborough STP,Y61,E40000007,East of England,196,ADD,896725,Population
2020-09-30,Secondary Care,abemaciclib,QUY,E54000039,"Bristol, North Somerset and South Gloucestershire STP",Y58,E40000006,South West,1491,ADD,969256,Population
2020-09-30,Secondary Care,abemaciclib,QVV,E54000041,Dorset STP,Y58,E40000006,South West,700,ADD,776780,Population
2020-09-30,Secondary Care,abemaciclib,QWE,E54000031,South West London Health & Care Partnership STP,Y56,E40000003,London,280,ADD,1509741,Population
2020-09-30,Secondary Care,abemaciclib,QWO,E54000054,West Yorkshire and Harrogate Health & Care Partnership STP,Y63,E40000009,North East and Yorkshire,2092,ADD,2396517,Population
2020-09-30,Secondary Care,abemaciclib,QWU,E54000018,Coventry and Warwickshire STP,Y60,E40000008,Midlands,924,ADD,963173,Population
2020-09-30,Secondary Care,abemaciclib,QXU,E54000052,Surrey Heartlands Health & Care Partnership STP,Y59,E40000005,South East,3080,ADD,1052425,Population
2020-09-30,Secondary Care,abemaciclib,QYG,E54000008,Cheshire and Merseyside STP,Y62,E40000010,North West,504,ADD,2503902,Population
2020-09-30,Secondary Care,neratinib,QE1,E54000048,Lancashire and South Cumbria ICS,Y62,E40000010,North West,1743,ADD,1701655,Population
2020-09-30,Secondary Care,neratinib,QF7,E54000009,South Yorkshire and Bassetlaw STP,Y63,E40000009,North East and Yorkshire,947,ADD,1533334,Population
2020-09-30,Secondary Care,neratinib,QH8,E54000026,Mid and South Essex STP,Y61,E40000007,East of England,37,ADD,1199296,Population
2020-09-30,Secondary Care,neratinib,QHG,E54000024,"Bedfordshire, Luton and Milton Keynes STP",Y61,E40000007,East of England,90,ADD,959098,Population
2020-09-30,Secondary Care,neratinib,QHL,E54000017,Birmingham and Solihull STP,Y60,E40000008,Midlands,840,ADD,1179731,Population
2020-09-30,Secondary Care,neratinib,QHM,E54000050,Cumbria and North East STP,Y63,E40000009,North East and Yorkshire,113,ADD,3000432,Population
2020-09-30,Secondary Care,neratinib,QJ2,E54000012,Joined Up Care Derbyshire STP,Y60,E40000008,Midlands,1260,ADD,1030393,Population
2020-09-30,Secondary Care,neratinib,QJK,E54000037,Devon STP,Y58,E40000006,South West,462,ADD,1209773,Population
2020-09-30,Secondary Care,neratinib,QK1,E54000015,"Leicester, Leicestershire and Rutland STP",Y60,E40000008,Midlands,630,ADD,1107597,Population
2020-09-30,Secondary Care,neratinib,QKK,E54000030,Our Healthier South East London STP,Y56,E40000003,London,300,ADD,1818226,Population
2020-09-30,Secondary Care,neratinib,QKS,E54000032,Kent and Medway STP,Y59,E40000005,South East,60,ADD,1868199,Population
2020-09-30,Secondary Care,neratinib,QNC,E54000010,Staffordshire & Stoke on Trent STP,Y60,E40000008,Midlands,750,ADD,1139794,Population
2020-09-30,Secondary Care,neratinib,QNX,E54000053,Sussex Health and Care Partnership,Y59,E40000005,South East,169,ADD,1711539,Population
2020-09-30,Secondary Care,neratinib,QOP,E54000007,Greater Manchester Health & Social Care Partnership,Y62,E40000010,North West,826,ADD,2881890,Population
2020-09-30,Secondary Care,neratinib,QOQ,E54000051,"Humber, Coast and Vale STP",Y63,E40000009,North East and Yorkshire,605,ADD,1708723,Population
2020-09-30,Secondary Care,neratinib,QOX,E54000040,"Bath and North East Somerset, Swindon and Wiltshire STP",Y58,E40000006,South West,90,ADD,929964,Population
2020-09-30,Secondary Care,neratinib,QPM,E54000020,Northamptonshire STP,Y60,E40000008,Midlands,120,ADD,740111,Population
2020-09-30,Secondary Care,neratinib,QR1,E54000043,Gloucestershire STP,Y58,E40000006,South West,90,ADD,640650,Population
2020-09-30,Secondary Care,neratinib,QRL,E54000042,Hampshire and the Isle of Wight STP,Y59,E40000005,South East,270,ADD,1831473,Population
2020-09-30,Secondary Care,neratinib,QRV,E54000027,North West London Health & Care Partnership STP,Y56,E40000003,London,3040,ADD,2111469,Population
2020-09-30,Secondary Care,neratinib,QT1,E54000014,Nottingham and Nottinghamshire Health and Care STP,Y60,E40000008,Midlands,1137,ADD,1052195,Population
2020-09-30,Secondary Care,neratinib,QU9,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West STP",Y59,E40000005,South East,120,ADD,1723447,Population
2020-09-30,Secondary Care,neratinib,QUA,E54000016,The Black Country and West Birmingham STP,Y60,E40000008,Midlands,778,ADD,1380809,Population
2020-09-30,Secondary Care,neratinib,QUY,E54000039,"Bristol, North Somerset and South Gloucestershire STP",Y58,E40000006,South West,552,ADD,969256,Population
2020-09-30,Secondary Care,neratinib,QVV,E54000041,Dorset STP,Y58,E40000006,South West,182,ADD,776780,Population
2020-09-30,Secondary Care,neratinib,QWE,E54000031,South West London Health & Care Partnership STP,Y56,E40000003,London,30,ADD,1509741,Population
2020-09-30,Secondary Care,neratinib,QWO,E54000054,West Yorkshire and Harrogate Health & Care Partnership STP,Y63,E40000009,North East and Yorkshire,460,ADD,2396517,Population
2020-09-30,Secondary Care,neratinib,QWU,E54000018,Coventry and Warwickshire STP,Y60,E40000008,Midlands,340,ADD,963173,Population
2020-09-30,Secondary Care,neratinib,QXU,E54000052,Surrey Heartlands Health & Care Partnership STP,Y59,E40000005,South East,210,ADD,1052425,Population
2020-09-30,Secondary Care,neratinib,QYG,E54000008,Cheshire and Merseyside STP,Y62,E40000010,North West,150,ADD,2503902,Population
2020-09-30,Secondary Care,palbociclib,QE1,E54000048,Lancashire and South Cumbria ICS,Y62,E40000010,North West,11870,DDD,1701655,Population
2020-09-30,Secondary Care,palbociclib,QF7,E54000009,South Yorkshire and Bassetlaw STP,Y63,E40000009,North East and Yorkshire,12918,DDD,1533334,Population
2020-09-30,Secondary Care,palbociclib,QGH,E54000019,Herefordshire and Worcestershire STP,Y60,E40000008,Midlands,5890,DDD,791685,Population
2020-09-30,Secondary Care,palbociclib,QH8,E54000026,Mid and South Essex STP,Y61,E40000007,East of England,5010,DDD,1199296,Population
2020-09-30,Secondary Care,palbociclib,QHG,E54000024,"Bedfordshire, Luton and Milton Keynes STP",Y61,E40000007,East of England,3128,DDD,959098,Population
2020-09-30,Secondary Care,palbociclib,QHL,E54000017,Birmingham and Solihull STP,Y60,E40000008,Midlands,6110,DDD,1179731,Population
2020-09-30,Secondary Care,palbociclib,QHM,E54000050,Cumbria and North East STP,Y63,E40000009,North East and Yorkshire,21411,DDD,3000432,Population
2020-09-30,Secondary Care,palbociclib,QJ2,E54000012,Joined Up Care Derbyshire STP,Y60,E40000008,Midlands,3787,DDD,1030393,Population
2020-09-30,Secondary Care,palbociclib,QJG,E54000023,Suffolk and North East Essex ICS,Y61,E40000007,East of England,5730,DDD,987177,Population
2020-09-30,Secondary Care,palbociclib,QJK,E54000037,Devon STP,Y58,E40000006,South West,7440,DDD,1209773,Population
2020-09-30,Secondary Care,palbociclib,QJM,E54000013,Lincolnshire STP,Y60,E40000008,Midlands,2128,DDD,766333,Population
2020-09-30,Secondary Care,palbociclib,QK1,E54000015,"Leicester, Leicestershire and Rutland STP",Y60,E40000008,Midlands,2005,DDD,1107597,Population
2020-09-30,Secondary Care,palbociclib,QKK,E54000030,Our Healthier South East London STP,Y56,E40000003,London,10548,DDD,1818226,Population
2020-09-30,Secondary Care,palbociclib,QKS,E54000032,Kent and Medway STP,Y59,E40000005,South East,14633,DDD,1868199,Population
2020-09-30,Secondary Care,palbociclib,QM7,E54000025,Hertfordshire and West Essex STP,Y61,E40000007,East of England,8255,DDD,1488061,Population
2020-09-30,Secondary Care,palbociclib,QMF,E54000029,East London Health & Care Partnership STP,Y56,E40000003,London,9188,DDD,2036470,Population
2020-09-30,Secondary Care,palbociclib,QMJ,E54000028,North London Partners in Health & Care STP,Y56,E40000003,London,5982,DDD,1526582,Population
2020-09-30,Secondary Care,palbociclib,QMM,E54000022,Norfolk and Waveney Health & Care Partnership STP,Y61,E40000007,East of England,2798,DDD,1032661,Population
2020-09-30,Secondary Care,palbociclib,QNC,E54000010,Staffordshire & Stoke on Trent STP,Y60,E40000008,Midlands,3386,DDD,1139794,Population
2020-09-30,Secondary Care,palbociclib,QNQ,E54000034,Frimley Health & Care STP,Y59,E40000005,South East,1432,DDD,746739,Population
2020-09-30,Secondary Care,palbociclib,QNX,E54000053,Sussex Health and Care Partnership,Y59,E40000005,South East,8913,DDD,1711539,Population
2020-09-30,Secondary Care,palbociclib,QOC,E54000011,Shropshire and Telford and Wrekin STP,Y60,E40000008,Midlands,4368,DDD,506737,Population
2020-09-30,Secondary Care,palbociclib,QOP,E54000007,Greater Manchester Health & Social Care Partnership,Y62,E40000010,North West,14365,DDD,2881890,Population
2020-09-30,Secondary Care,palbociclib,QOQ,E54000051,"Humber, Coast and Vale STP",Y63,E40000009,North East and Yorkshire,6691,DDD,1708723,Population
2020-09-30,Secondary Care,palbociclib,QOX,E54000040,"Bath and North East Somerset, Swindon and Wiltshire STP",Y58,E40000006,South West,8870,DDD,929964,Population
2020-09-30,Secondary Care,palbociclib,QPM,E54000020,Northamptonshire STP,Y60,E40000008,Midlands,2277,DDD,740111,Population
2020-09-30,Secondary Care,palbociclib,QR1,E54000043,Gloucestershire STP,Y58,E40000006,South West,8165,DDD,640650,Population
2020-09-30,Secondary Care,palbociclib,QRL,E54000042,Hampshire and the Isle of Wight STP,Y59,E40000005,South East,7925,DDD,1831473,Population
2020-09-30,Secondary Care,palbociclib,QRV,E54000027,North West London Health & Care Partnership STP,Y56,E40000003,London,19410,DDD,2111469,Population
2020-09-30,Secondary Care,palbociclib,QSL,E54000038,Somerset STP,Y58,E40000006,South West,4265,DDD,563851,Population
2020-09-30,Secondary Care,palbociclib,QT1,E54000014,Nottingham and Nottinghamshire Health and Care STP,Y60,E40000008,Midlands,5702,DDD,1052195,Population
2020-09-30,Secondary Care,palbociclib,QT6,E54000036,Cornwall and the Isles of Scilly Health & Social Care Partnership STP,Y58,E40000006,South West,3130,DDD,575525,Population
2020-09-30,Secondary Care,palbociclib,QU9,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West STP",Y59,E40000005,South East,6605,DDD,1723447,Population
2020-09-30,Secondary Care,palbociclib,QUA,E54000016,The Black Country and West Birmingham STP,Y60,E40000008,Midlands,5205,DDD,1380809,Population
2020-09-30,Secondary Care,palbociclib,QUE,E54000021,Cambridgeshire and Peterborough STP,Y61,E40000007,East of England,1631,DDD,896725,Population
2020-09-30,Secondary Care,palbociclib,QUY,E54000039,"Bristol, North Somerset and South Gloucestershire STP",Y58,E40000006,South West,4810,DDD,969256,Population
2020-09-30,Secondary Care,palbociclib,QVV,E54000041,Dorset STP,Y58,E40000006,South West,5340,DDD,776780,Population
2020-09-30,Secondary Care,palbociclib,QWE,E54000031,South West London Health & Care Partnership STP,Y56,E40000003,London,1653,DDD,1509741,Population
2020-09-30,Secondary Care,palbociclib,QWO,E54000054,West Yorkshire and Harrogate Health & Care Partnership STP,Y63,E40000009,North East and Yorkshire,9870,DDD,2396517,Population
2020-09-30,Secondary Care,palbociclib,QWU,E54000018,Coventry and Warwickshire STP,Y60,E40000008,Midlands,5926,DDD,963173,Population
2020-09-30,Secondary Care,palbociclib,QXU,E54000052,Surrey Heartlands Health & Care Partnership STP,Y59,E40000005,South East,8339,DDD,1052425,Population
2020-09-30,Secondary Care,palbociclib,QYG,E54000008,Cheshire and Merseyside STP,Y62,E40000010,North West,5912,DDD,2503902,Population
2020-09-30,Secondary Care,pembrolizumab,QE1,E54000048,Lancashire and South Cumbria ICS,Y62,E40000010,North West,164600,mgs,1701655,Population
2020-09-30,Secondary Care,pembrolizumab,QF7,E54000009,South Yorkshire and Bassetlaw STP,Y63,E40000009,North East and Yorkshire,77600,mgs,1533334,Population
2020-09-30,Secondary Care,pembrolizumab,QGH,E54000019,Herefordshire and Worcestershire STP,Y60,E40000008,Midlands,49300,mgs,791685,Population
2020-09-30,Secondary Care,pembrolizumab,QH8,E54000026,Mid and South Essex STP,Y61,E40000007,East of England,106700,mgs,1199296,Population
2020-09-30,Secondary Care,pembrolizumab,QHG,E54000024,"Bedfordshire, Luton and Milton Keynes STP",Y61,E40000007,East of England,47200,mgs,959098,Population
2020-09-30,Secondary Care,pembrolizumab,QHL,E54000017,Birmingham and Solihull STP,Y60,E40000008,Midlands,217850,mgs,1179731,Population
2020-09-30,Secondary Care,pembrolizumab,QHM,E54000050,Cumbria and North East STP,Y63,E40000009,North East and Yorkshire,185600,mgs,3000432,Population
2020-09-30,Secondary Care,pembrolizumab,QJ2,E54000012,Joined Up Care Derbyshire STP,Y60,E40000008,Midlands,61400,mgs,1030393,Population
2020-09-30,Secondary Care,pembrolizumab,QJG,E54000023,Suffolk and North East Essex ICS,Y61,E40000007,East of England,44000,mgs,987177,Population
2020-09-30,Secondary Care,pembrolizumab,QJK,E54000037,Devon STP,Y58,E40000006,South West,112600,mgs,1209773,Population
2020-09-30,Secondary Care,pembrolizumab,QJM,E54000013,Lincolnshire STP,Y60,E40000008,Midlands,62400,mgs,766333,Population
2020-09-30,Secondary Care,pembrolizumab,QK1,E54000015,"Leicester, Leicestershire and Rutland STP",Y60,E40000008,Midlands,79000,mgs,1107597,Population
2020-09-30,Secondary Care,pembrolizumab,QKK,E54000030,Our Healthier South East London STP,Y56,E40000003,London,117900,mgs,1818226,Population
2020-09-30,Secondary Care,pembrolizumab,QKS,E54000032,Kent and Medway STP,Y59,E40000005,South East,115800,mgs,1868199,Population
2020-09-30,Secondary Care,pembrolizumab,QM7,E54000025,Hertfordshire and West Essex STP,Y61,E40000007,East of England,89000,mgs,1488061,Population
2020-09-30,Secondary Care,pembrolizumab,QMF,E54000029,East London Health & Care Partnership STP,Y56,E40000003,London,103825,mgs,2036470,Population
2020-09-30,Secondary Care,pembrolizumab,QMJ,E54000028,North London Partners in Health & Care STP,Y56,E40000003,London,48900,mgs,1526582,Population
2020-09-30,Secondary Care,pembrolizumab,QMM,E54000022,Norfolk and Waveney Health & Care Partnership STP,Y61,E40000007,East of England,93300,mgs,1032661,Population
2020-09-30,Secondary Care,pembrolizumab,QNC,E54000010,Staffordshire & Stoke on Trent STP,Y60,E40000008,Midlands,67800,mgs,1139794,Population
2020-09-30,Secondary Care,pembrolizumab,QNQ,E54000034,Frimley Health & Care STP,Y59,E40000005,South East,13400,mgs,746739,Population
2020-09-30,Secondary Care,pembrolizumab,QNX,E54000053,Sussex Health and Care Partnership,Y59,E40000005,South East,67300,mgs,1711539,Population
2020-09-30,Secondary Care,pembrolizumab,QOC,E54000011,Shropshire and Telford and Wrekin STP,Y60,E40000008,Midlands,24200,mgs,506737,Population
2020-09-30,Secondary Care,pembrolizumab,QOP,E54000007,Greater Manchester Health & Social Care Partnership,Y62,E40000010,North West,191850,mgs,2881890,Population
2020-09-30,Secondary Care,pembrolizumab,QOQ,E54000051,"Humber, Coast and Vale STP",Y63,E40000009,North East and Yorkshire,95100,mgs,1708723,Population
2020-09-30,Secondary Care,pembrolizumab,QOX,E54000040,"Bath and North East Somerset, Swindon and Wiltshire STP",Y58,E40000006,South West,51525,mgs,929964,Population
2020-09-30,Secondary Care,pembrolizumab,QPM,E54000020,Northamptonshire STP,Y60,E40000008,Midlands,38200,mgs,740111,Population
2020-09-30,Secondary Care,pembrolizumab,QR1,E54000043,Gloucestershire STP,Y58,E40000006,South West,29700,mgs,640650,Population
2020-09-30,Secondary Care,pembrolizumab,QRL,E54000042,Hampshire and the Isle of Wight STP,Y59,E40000005,South East,158540,mgs,1831473,Population
2020-09-30,Secondary Care,pembrolizumab,QRV,E54000027,North West London Health & Care Partnership STP,Y56,E40000003,London,176400,mgs,2111469,Population
2020-09-30,Secondary Care,pembrolizumab,QSL,E54000038,Somerset STP,Y58,E40000006,South West,43300,mgs,563851,Population
2020-09-30,Secondary Care,pembrolizumab,QT1,E54000014,Nottingham and Nottinghamshire Health and Care STP,Y60,E40000008,Midlands,82700,mgs,1052195,Population
2020-09-30,Secondary Care,pembrolizumab,QT6,E54000036,Cornwall and the Isles of Scilly Health & Social Care Partnership STP,Y58,E40000006,South West,92000,mgs,575525,Population
2020-09-30,Secondary Care,pembrolizumab,QU9,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West STP",Y59,E40000005,South East,128200,mgs,1723447,Population
2020-09-30,Secondary Care,pembrolizumab,QUA,E54000016,The Black Country and West Birmingham STP,Y60,E40000008,Midlands,47600,mgs,1380809,Population
2020-09-30,Secondary Care,pembrolizumab,QUE,E54000021,Cambridgeshire and Peterborough STP,Y61,E40000007,East of England,70600,mgs,896725,Population
2020-09-30,Secondary Care,pembrolizumab,QUY,E54000039,"Bristol, North Somerset and South Gloucestershire STP",Y58,E40000006,South West,56000,mgs,969256,Population
2020-09-30,Secondary Care,pembrolizumab,QVV,E54000041,Dorset STP,Y58,E40000006,South West,55200,mgs,776780,Population
2020-09-30,Secondary Care,pembrolizumab,QWE,E54000031,South West London Health & Care Partnership STP,Y56,E40000003,London,10300,mgs,1509741,Population
2020-09-30,Secondary Care,pembrolizumab,QWO,E54000054,West Yorkshire and Harrogate Health & Care Partnership STP,Y63,E40000009,North East and Yorkshire,125600,mgs,2396517,Population
2020-09-30,Secondary Care,pembrolizumab,QWU,E54000018,Coventry and Warwickshire STP,Y60,E40000008,Midlands,44600,mgs,963173,Population
2020-09-30,Secondary Care,pembrolizumab,QXU,E54000052,Surrey Heartlands Health & Care Partnership STP,Y59,E40000005,South East,88400,mgs,1052425,Population
2020-09-30,Secondary Care,pembrolizumab,QYG,E54000008,Cheshire and Merseyside STP,Y62,E40000010,North West,185650,mgs,2503902,Population
2020-09-30,Secondary Care,ribociclib,QE1,E54000048,Lancashire and South Cumbria ICS,Y62,E40000010,North West,299,ADD,1701655,Population
2020-09-30,Secondary Care,ribociclib,QF7,E54000009,South Yorkshire and Bassetlaw STP,Y63,E40000009,North East and Yorkshire,1624,ADD,1533334,Population
2020-09-30,Secondary Care,ribociclib,QGH,E54000019,Herefordshire and Worcestershire STP,Y60,E40000008,Midlands,93,ADD,791685,Population
2020-09-30,Secondary Care,ribociclib,QH8,E54000026,Mid and South Essex STP,Y61,E40000007,East of England,812,ADD,1199296,Population
2020-09-30,Secondary Care,ribociclib,QHG,E54000024,"Bedfordshire, Luton and Milton Keynes STP",Y61,E40000007,East of England,924,ADD,959098,Population
2020-09-30,Secondary Care,ribociclib,QHL,E54000017,Birmingham and Solihull STP,Y60,E40000008,Midlands,859,ADD,1179731,Population
2020-09-30,Secondary Care,ribociclib,QHM,E54000050,Cumbria and North East STP,Y63,E40000009,North East and Yorkshire,961,ADD,3000432,Population
2020-09-30,Secondary Care,ribociclib,QJ2,E54000012,Joined Up Care Derbyshire STP,Y60,E40000008,Midlands,84,ADD,1030393,Population
2020-09-30,Secondary Care,ribociclib,QJG,E54000023,Suffolk and North East Essex ICS,Y61,E40000007,East of England,3343,ADD,987177,Population
2020-09-30,Secondary Care,ribociclib,QJK,E54000037,Devon STP,Y58,E40000006,South West,2463,ADD,1209773,Population
2020-09-30,Secondary Care,ribociclib,QJM,E54000013,Lincolnshire STP,Y60,E40000008,Midlands,56,ADD,766333,Population
2020-09-30,Secondary Care,ribociclib,QK1,E54000015,"Leicester, Leicestershire and Rutland STP",Y60,E40000008,Midlands,2772,ADD,1107597,Population
2020-09-30,Secondary Care,ribociclib,QKK,E54000030,Our Healthier South East London STP,Y56,E40000003,London,2623,ADD,1818226,Population
2020-09-30,Secondary Care,ribociclib,QKS,E54000032,Kent and Medway STP,Y59,E40000005,South East,532,ADD,1868199,Population
2020-09-30,Secondary Care,ribociclib,QM7,E54000025,Hertfordshire and West Essex STP,Y61,E40000007,East of England,625,ADD,1488061,Population
2020-09-30,Secondary Care,ribociclib,QMF,E54000029,East London Health & Care Partnership STP,Y56,E40000003,London,429,ADD,2036470,Population
2020-09-30,Secondary Care,ribociclib,QMJ,E54000028,North London Partners in Health & Care STP,Y56,E40000003,London,1241,ADD,1526582,Population
2020-09-30,Secondary Care,ribociclib,QMM,E54000022,Norfolk and Waveney Health & Care Partnership STP,Y61,E40000007,East of England,187,ADD,1032661,Population
2020-09-30,Secondary Care,ribociclib,QNC,E54000010,Staffordshire & Stoke on Trent STP,Y60,E40000008,Midlands,1381,ADD,1139794,Population
2020-09-30,Secondary Care,ribociclib,QNQ,E54000034,Frimley Health & Care STP,Y59,E40000005,South East,560,ADD,746739,Population
2020-09-30,Secondary Care,ribociclib,QNX,E54000053,Sussex Health and Care Partnership,Y59,E40000005,South East,1512,ADD,1711539,Population
2020-09-30,Secondary Care,ribociclib,QOC,E54000011,Shropshire and Telford and Wrekin STP,Y60,E40000008,Midlands,205,ADD,506737,Population
2020-09-30,Secondary Care,ribociclib,QOP,E54000007,Greater Manchester Health & Social Care Partnership,Y62,E40000010,North West,2016,ADD,2881890,Population
2020-09-30,Secondary Care,ribociclib,QOQ,E54000051,"Humber, Coast and Vale STP",Y63,E40000009,North East and Yorkshire,2529,ADD,1708723,Population
2020-09-30,Secondary Care,ribociclib,QOX,E54000040,"Bath and North East Somerset, Swindon and Wiltshire STP",Y58,E40000006,South West,448,ADD,929964,Population
2020-09-30,Secondary Care,ribociclib,QPM,E54000020,Northamptonshire STP,Y60,E40000008,Midlands,233,ADD,740111,Population
2020-09-30,Secondary Care,ribociclib,QRL,E54000042,Hampshire and the Isle of Wight STP,Y59,E40000005,South East,1857,ADD,1831473,Population
2020-09-30,Secondary Care,ribociclib,QRV,E54000027,North West London Health & Care Partnership STP,Y56,E40000003,London,2596,ADD,2111469,Population
2020-09-30,Secondary Care,ribociclib,QSL,E54000038,Somerset STP,Y58,E40000006,South West,56,ADD,563851,Population
2020-09-30,Secondary Care,ribociclib,QT1,E54000014,Nottingham and Nottinghamshire Health and Care STP,Y60,E40000008,Midlands,1680,ADD,1052195,Population
2020-09-30,Secondary Care,ribociclib,QT6,E54000036,Cornwall and the Isles of Scilly Health & Social Care Partnership STP,Y58,E40000006,South West,1969,ADD,575525,Population
2020-09-30,Secondary Care,ribociclib,QU9,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West STP",Y59,E40000005,South East,1848,ADD,1723447,Population
2020-09-30,Secondary Care,ribociclib,QUA,E54000016,The Black Country and West Birmingham STP,Y60,E40000008,Midlands,199,ADD,1380809,Population
2020-09-30,Secondary Care,ribociclib,QUE,E54000021,Cambridgeshire and Peterborough STP,Y61,E40000007,East of England,597,ADD,896725,Population
2020-09-30,Secondary Care,ribociclib,QUY,E54000039,"Bristol, North Somerset and South Gloucestershire STP",Y58,E40000006,South West,84,ADD,969256,Population
